brand,car_model,datatime,datetime,desc,id,problem,status,type
奔驰（进口）,奔驰R级,2020-06-24,,进口奔驰R级发动机故障灯亮电路板烧毁,487960,"A34,H109,H110,L314,",信息审核,2017款 R 320 4MATIC 商务型臻藏版
众泰汽车,众泰SR7,2020-06-24,,众泰SR7减震器漏油严重厂家无配件提供,487958,"G25,N318,",信息审核,2016款 1.5T 手动 魔方之路版 国IV
东风雪铁龙,雪铁龙C4L,2020-06-24,,东风雪铁龙C4L方向盘上下左右松动,487957,"D337,",信息审核,2014款 1.8L 自动 智驱版 劲智型
广汽本田,雅阁,2020-06-24,,广汽本田雅阁高速行驶中踩油门没有反应,487955,"A255,",厂家受理,2018款 230TURBO 舒适版 国V
北汽新能源,北汽新能源EC,2020-06-24,,北汽新能源EC全车断电 售后无配件维修,487954,"A346,N318,",厂家受理,2017款 EC200 灵动版
广汽乘用车,传祺GS5,2020-06-24,,广汽传祺GS5发动机无法启动要求解决,487952,"A44,",信息审核,2019款 270T 自动 豪华版
上汽集团,荣威RX5 MAX,2020-06-24,,上汽荣威RX5 MAX经销商出售库存车,487951,"L313,M283,",厂家受理,2019款 400TGI 自动 智能座舱豪华版
江淮汽车,瑞风S3,2020-06-24,,江淮瑞风S3维修人员喷漆后车漆脱落,487945,"J303,",信息审核,2015款 1.5L 手动 豪华智能尊享版
广汽丰田,汉兰达,2020-06-24,,广汽丰田汉兰达高压喷油嘴漏油热车启动困难,487944,"A12,A44,",处理反馈,2015款 2.0T 四驱 豪华版 7座
吉利汽车,博越,2020-06-24,,吉利博越变速箱挡位灯与厂家宣传不符,487943,"M279,",信息审核,2020款 1.8TD DCT 智慧PRO
东风标致,标致408,2020-06-24,,东风标致408更换正时皮带后发动机损坏,487941,"J300,",信息审核,2015款 1.2T 自动 豪华版
吉利汽车,帝豪GL,2020-06-24,,吉利帝豪GL离合器分泵漏油存在质量问题,487938,"C207,",信息审核,2017款 1.3T 手动 精英型
上汽大众,途观L,2020-06-24,,上汽大众途观L变速箱异响严重希望处理,487935,"B33,",信息审核,2017款 380TSI 四驱 旗舰版
奇瑞捷豹路虎,发现运动版,2020-06-24,,奇瑞捷豹路虎发现运动版发动机无法启动,487933,"A44,D57,",处理反馈,2020款 249PS R-Dynamic SE 性能科技版 7座
众泰汽车,众泰T700,2020-06-24,,众泰T700离合器打滑 发动机报警 换挡顿挫,487932,"A34,B19,C16,",信息审核,2017款 1.8T 双离合 尊贵型
吉利汽车,缤越,2020-06-24,,吉利缤越减震器过软 车辆风噪大	,487930,"G162,H164,",信息审核,2019款 260T DCT 骑士 国VI
吉利汽车,博越,2020-06-24,,吉利博越变速箱异响顿挫希望处理,487929,"B33,B19,",信息审核,2016款 1.8TD 自动 两驱 智联型
广汽本田,缤智,2020-06-24,,广汽本田缤智停车怠速时车辆窜动明显,487926,"B95,",厂家受理,2015款 1.5L CVT 两驱舒适型
比亚迪,比亚迪G5,2020-06-24,,比亚迪G5车内塑料味严重一直无法解决,487924,"H185,",处理反馈,2014款 1.5TI 手动 豪华型
东风标致,标致408,2020-06-24,,东风标致408正时皮带掉毛 发动机烧机油,487922,"A63,A336,",信息审核,2015款 1.2T 自动 豪华版
广汽丰田,雷凌,2020-06-24,,广汽丰田雷凌冷车时发动机舱转向异响,487921,"A9,D59,",处理反馈,2019款 185T CVT 豪华版 国VI
长安汽车,长安CS75 PLUS,2020-06-24,,长安CS75 PLUS蓄电池电量低影响使用,487920,"H146,",处理反馈,2020款 2.0T 自动 旗舰型
奇瑞新能源,奇瑞eQ1,2020-06-24,,奇瑞eQ1销售价格不透明商家克扣厂家补助,487919,"K308,",信息审核,2019款 小蚂蚁 智享版 4座 30.6kWh
长安汽车,长安CS15,2020-06-24,,长安CS15缺少随车工具希望尽快处理,487918,"O354,",厂家受理,2016款 1.5L 手动 时尚版
吉利汽车,星越,2020-06-24,,吉利星越车机卡顿黑屏 雨刷器异响,487917,"H155,H60,M279,",信息审核,2020款 350T 驭星者
东风标致,标致408,2020-06-24,,东风标致408空调压缩机损坏无法制冷,487916,"H101,",信息审核,2014款 1.8L 自动 豪华版
上汽通用五菱,五菱宏光,2020-06-24,,上汽通用五菱宏光4S店售后态度极差,487911,"I293,",信息审核,2018款 1.2L S 基本型 经典款
东南汽车,东南DX3,2020-06-24,,东南DX3正常行驶中发生自燃存在质量问题	,487909,"H40,",信息审核,2017款 1.5T 手动 尊贵型
长安马自达,马自达3 昂克赛拉,2020-06-24,,长安马自达昂克赛拉变速箱顿挫 发动机抖动	,487905,"A24,B19,E43,",信息审核,2020款 1.5L 自动 质美版
跃进,C500,2020-06-24,,跃进C500发动机不烧尿素变速箱故障,487904,"A34,A44,B33,I295,",信息审核,轻卡
上汽集团,锐腾,2020-06-24,,上汽名爵锐腾维修人员操作失误致电瓶报废,487903,"I295,J299,",厂家受理,2015款 1.5TGI TST 豪华版
上汽斯柯达,速派,2020-06-24,,斯柯达速派主驾驶侧车窗无法正常下降,487901,"H67,",信息审核,2016款 TSI280 DSG 创行版
吉利汽车,博越,2020-06-24,,吉利博越简配挡位及雾灯 希望厂家尽快解决,487899,"M279,",信息审核,2020款 1.8TD DCT 智领PRO
吉利汽车,星越,2020-06-24,,吉利星越车机系统升级后仍然卡顿,487897,"O348,",信息审核,2019款 300T 耀星者
奔驰（进口）,奔驰B级,2020-06-24,,进口奔驰B级变速箱阀体故障出现顿挫	,487896,"B19,B115,",信息审核,2009款 2.0L CVT 200 时尚型
一汽丰田,锐志,2020-06-24,,一汽丰田锐志中控仪表台开裂希望尽快处理,487895,"H176,",信息审核,2009款 2.5S 舒适版 新锐志 REIZ
奔驰（进口）,奔驰S级,2020-06-24,,进口奔驰S级漏防冻液 油表不显示,487893,"A37,H202,",信息审核,2020款 S 350 L 尊享型 臻藏版
华晨宝马,宝马X1,2020-06-24,,华晨宝马X1启动车辆后防侧滑故障灯亮,487892,"H170,",厂家受理,2016款 xDrive20Li 豪华型
一汽丰田,RAV4荣放,2020-06-24,,一汽丰田RAV4荣放机油增多汽油味浓重,487890,"A339,",信息审核,2020款 2.0L CVT 两驱 尊贵版
吉利汽车,博越,2020-06-24,,吉利博越挡位指示灯和雾灯与宣传不符,487888,"M279,",信息审核,2020款 1.8TD DCT 智尊PRO
华晨中华,中华H230EV,2020-06-24,,中华H230EV动力电池故障希望解决,487887,"H343,",信息审核,2017款 豪华型
华晨宝马,宝马X3,2020-06-24,,华晨宝马X3天窗周围顶棚漏水质量差,487886,"H90,",厂家受理,2019款 xDrive28i 豪华套装
奇瑞汽车,瑞虎8,2020-06-24,,奇瑞瑞虎8过减速带后悬挂异响严重,487882,"G56,",信息审核,2018款 1.5TCI 手动 豪华型 7座
领克汽车,领克03,2020-06-24,,领克03主副驾驶座椅磨损严重希望厂家处理,487878,"H169,",用户评分,2019款 1.5TD DCT 劲Pro版 国VI
长安汽车,悦翔V5,2020-06-24,,长安悦翔V5电路故障行驶中断电轮毂变形,487877,"H243,H110,",厂家受理,2012款 1.5L 手动 梦幻型 国IV
上汽大众,途观L,2020-06-24,,上汽大众途观L天窗漏水4S店订件时间长,487875,"H90,I295,L314,L310,N320,",信息审核,2019款 330TSI 自动 两驱 全景舒适版 国V
一汽奔腾,奔腾T99,2020-06-24,,一汽奔腾T99电瓶亏电导致车辆无法启动,487873,"H146,",处理反馈,2019款 20TD 自动 旗舰型
上汽大众,途铠,2020-06-24,,上汽大众途铠车身有严重漏水的现象,487871,"H109,",信息审核,2020款 1.5L 自动 舒适版
一汽-大众,探岳,2020-06-24,,一汽大众探岳变速箱挡杆卡死车辆无法行驶,487870,"B184,",信息审核,2020款 330TSI 两驱 豪华智联版
一汽丰田,皇冠,2020-06-24,,一汽丰田皇冠安全气囊游丝故障导致故障报警,487869,"H103,",信息审核,2015款 2.5L 智享版
北京现代,胜达,2020-06-24,,北京现代胜达保修期内发动机异响厂家拒赔,487867,"A9,I297,Q349,",信息审核,2015款 2.4L 自动 两驱 智能型 5座
广汽本田,雅阁,2020-06-24,,广汽本田雅阁车身抖动邓禄普轮胎开裂,487866,"F100,",厂家受理,2016款 2.0L CVT  舒适版
北京现代,领动,2020-06-24,,北京现代领动变速箱异响顿挫4S店不给处理,487865,"B33,B19,I295,I297,",信息审核,2018款 1.4T 双离合 炫动·活力型
上汽大众,Polo,2020-06-24,,上汽大众Polo车辆出险经销商私自定损维修,487863,"I295,M315,O305,O353,",信息审核,2013款 POLO 1.6 自动 舒适版
吉利汽车,星越,2020-06-24,,吉利星越车机系统升级后仍然无法正常使用,487862,"O348,",处理反馈,2019款 300T 耀星者
北京奔驰,奔驰C级,2020-06-24,,北京奔驰C级正常行驶过程中发动机爆缸,487861,"A136,",信息审核,2015款 180 L 运动型
吉利汽车,星越,2020-06-24,,吉利星越车机死机软件版本老旧与宣传不符,487860,"H155,M279,",处理反馈,2019款 350T AWD 驭星者
吉利汽车,博越,2020-06-24,,吉利博越变速箱没有挡位灯没有前雾灯,487858,"M279,",处理反馈,2020款 1.8TD DCT 智尊PRO
华晨宝马,宝马X1,2020-06-24,,华晨宝马X1发动机支架断裂 球笼套损坏,487857,"A241,G161,",厂家受理,2018款 sDrive20Li 领先型
众泰汽车,众泰SR9,2020-06-24,,众泰SR9行驶中挡位及刹车失灵 轮胎摆动,487856,"B115,E29,G204,",处理反馈,2017款 2.0T 自动 极致之路版
奇瑞汽车,捷途X70,2020-06-24,,捷途X70行车记录仪模糊 车道偏离预警失灵,487852,"H134,H170,",处理反馈,2020款 1.5T 手动 悦行版 6座
长安马自达,马自达3 昂克赛拉,2020-06-24,,长安马自达昂克赛拉中控显示屏开胶,487850,"H168,",厂家受理,2017款 1.5L 自动 豪华型 三厢 国V
东风悦达起亚,起亚K3,2020-06-24,,东风悦达起亚K3打方向时存在严重异响,487848,"D59,",厂家受理,2016款 1.6L 自动 GLS
吉利汽车,帝豪GL,2020-06-24,,吉利帝豪GL倒挡挂不上维修后未解决,487847,"B20,",用户评分,2017款 1.3T 自动 精英型
东风雪铁龙,雪铁龙C2,2020-06-24,,东风雪铁龙C2变速箱故障灯亮挡位锁定,487845,"B20,B96,",处理反馈,2007款 1.6 自动 VTS SX
上汽通用五菱,宝骏530,2020-06-24,,宝骏530变速箱召回方案时间太长不合理,487844,"Q323,",厂家受理,2018款 1.5T DCT 旗舰型 国V
奇瑞汽车,瑞虎7,2020-06-24,,奇瑞瑞虎7驾驶室车门异响 车门焊接多处开裂,487843,"G125,H72,H168,",信息审核,2018款 1.5T 自动 劲享版 FLY款 国VI
大众（进口）,Tiguan,2020-06-24,,进口大众Tiguan辅助传感器无数据故障,487841,"H234,",信息审核,2018款 330TSI 四驱 创睿型
吉利汽车,星越,2020-06-24,,吉利星越车机系统死机且无法进行升级,487840,"H155,M279,",用户评分,2019款 350T 耀星者
江淮汽车,瑞风M3,2020-06-24,,江淮瑞风M3空调控制面板失灵影响使用,487838,"H134,",处理反馈,2016款 1.6L 豪华型 宜家版
广汽本田,飞度,2020-06-24,,广汽本田飞度发动机冷车VTEC控制器异响,487836,"A9,",厂家受理,2014款 1.5L CVT LX舒适型
一汽-大众,探岳,2020-06-24,,一汽大众探岳车灯透视发白影响视线,487835,"H82,",用户评分,2019款 330TSI 两驱 豪华型Plus 国VI
奇瑞汽车,瑞虎8,2020-06-24,,奇瑞瑞虎8引擎盖生锈4S店出售库存车,487834,"H79,M283,",信息审核,2019款 1.6TGDI 自动 精英型
吉利汽车,星越,2020-06-24,,吉利星越车机软件升级后越来越卡顿,487832,"H155,O348,",处理反馈,2019款 改款 350T 耀星者
